id,mouse3.num,mouse3.neg.score,mouse3.neg.p.value,mouse3.neg.fdr,mouse3.neg.rank,mouse3.neg.goodsgrna,mouse3.neg.lfc,mouse4.noLmnb2_1.num,mouse4.noLmnb2_1.neg.score,mouse4.noLmnb2_1.neg.p.value,mouse4.noLmnb2_1.neg.fdr,mouse4.noLmnb2_1.neg.rank,mouse4.noLmnb2_1.neg.goodsgrna,mouse4.noLmnb2_1.neg.lfc,mouse7.num,mouse7.neg.score,mouse7.neg.p.value,mouse7.neg.fdr,mouse7.neg.rank,mouse7.neg.goodsgrna,mouse7.neg.lfc,mouse8.num,mouse8.neg.score,mouse8.neg.p.value,mouse8.neg.fdr,mouse8.neg.rank,mouse8.neg.goodsgrna,mouse8.neg.lfc,mean.sgrnas,median.lfc.all,p.wilcox,p.wilcox.bh
Sox12,5,0.95726,0.91086,0.976508,12322,0,0.25849,5,0.68036,0.62488,0.950762,8469,0,-0.065425,5,0.69089,0.59392,0.962198,7873,0,0.14782,5,0.84721,0.73527,0.935348,10381,0,-0.077474,5,0.0411975,0.461969209,0.763946183
Spag5,5,0.81052,0.69834,0.955823,9593,0,0.064106,5,0.73231,0.66872,0.950762,9231,0,-0.31179,5,0.98085,0.95907,0.989511,12794,0,0.21846,5,0.65965,0.5348,0.930684,7294,0,0.018288,5,0.041197,0.76316972,0.922610368
Slc16a5,5,0.53203,0.44638,0.955823,5124,0,-0.0049842,5,0.48476,0.44786,0.950762,5821,0,-0.087433,5,0.89043,0.82044,0.970532,11158,0,0.28134,5,0.61794,0.49847,0.930684,6612,0,0.087359,5,0.0411874,0.461221185,0.763361691
Gm11808,5,0.67831,0.55799,0.955823,7389,0,-0.20322,5,0.60947,0.55248,0.950762,7477,0,0.083522,5,0.6961,0.59995,0.962198,7962,0,0.017436,5,0.90887,0.82579,0.947993,11505,0,0.064908,5,0.041172,0.981064321,0.994084968
Zfp938,5,0.73233,0.61006,0.955823,8276,0,-0.012037,5,0.92242,0.88414,0.970202,12003,0,0.25212,5,0.67417,0.57825,0.962198,7615,0,-0.14321,5,0.71319,0.58585,0.930684,8151,0,0.09424,5,0.0411015,0.572916189,0.83540263
Akt1,5,0.55381,0.45916,0.955823,5457,0,0.10773,5,0.41961,0.38533,0.950762,4993,1,0.33007,5,0.73286,0.63616,0.962198,8565,0,-0.025546,5,0.30265,0.24699,0.930684,2429,1,-0.12851,5,0.041092,0.505477579,0.793982113
Rab3a,5,0.71416,0.59443,0.955823,7983,0,0.064204,5,0.5932,0.53958,0.950762,7248,0,0.32875,5,0.53546,0.45023,0.962198,5521,0,-0.17467,5,0.39749,0.31042,0.930684,3562,0,0.017933,5,0.0410685,0.565630728,0.831452512
Epb41l4a,5,0.81265,0.69989,0.955823,9641,0,-0.066396,5,0.33267,0.31341,0.950762,3974,1,0.13414,5,0.63465,0.53674,0.962198,6973,0,-0.011241,5,0.98994,0.97085,0.988053,12979,0,0.093301,5,0.04103,0.613617009,0.858725732
Slc35d1,5,0.36576,0.30916,0.955823,2853,0,0.12341,5,0.71394,0.6523,0.950762,8957,0,0.0045894,5,0.34382,0.30118,0.962198,2948,0,-0.139,5,0.92143,0.84407,0.952204,11710,0,0.077423,5,0.0410062,0.783495154,0.929403055
Nfkb2,5,0.70456,0.58585,0.955823,7818,0,-0.069101,5,0.25834,0.25455,0.950762,3279,1,0.14032,5,0.81455,0.72376,0.963396,9900,0,0.24465,5,0.49204,0.38707,0.930684,4790,0,-0.058345,5,0.0409875,0.457570632,0.761061945
Fam174b,5,0.75029,0.63122,0.955823,8564,0,-0.013919,5,0.99923,0.9983,0.999783,13186,0,0.45925,5,0.97867,0.95529,0.988873,12751,0,0.095819,5,0.69004,0.56249,0.930684,7796,0,-0.16438,5,0.04095,0.528748808,0.809893803
