id,mouse3.num,mouse3.pos.score,mouse3.pos.p.value,mouse3.pos.fdr,mouse3.pos.rank,mouse3.pos.goodsgrna,mouse3.pos.lfc,mouse4.noLmnb2_1.num,mouse4.noLmnb2_1.pos.score,mouse4.noLmnb2_1.pos.p.value,mouse4.noLmnb2_1.pos.fdr,mouse4.noLmnb2_1.pos.rank,mouse4.noLmnb2_1.pos.goodsgrna,mouse4.noLmnb2_1.pos.lfc,mouse7.num,mouse7.pos.score,mouse7.pos.p.value,mouse7.pos.fdr,mouse7.pos.rank,mouse7.pos.goodsgrna,mouse7.pos.lfc,mouse8.num,mouse8.pos.score,mouse8.pos.p.value,mouse8.pos.fdr,mouse8.pos.rank,mouse8.pos.goodsgrna,mouse8.pos.lfc,mean.sgrnas,median.lfc.all,p.wilcox,p.wilcox.bh
Trp53,5,9.32E-08,7.50E-07,0.00495,2,5,0.6266,5,4.10E-05,0.00030395,0.771452,5,4,0.89599,5,0.0020371,0.010189,1,97,3,0.45799,5,2.00E-08,3.75E-07,0.00495,1,4,0.76845,5,0.697525,0.000562178,0.045899084
Tsc1,5,2.92E-08,3.75E-07,0.00495,1,5,0.71657,5,0.022418,0.078324,1,764,3,0.4192,5,4.37E-06,4.09E-05,0.159653,2,4,0.50294,5,2.78E-05,0.00018027,0.476238,5,4,0.61832,5,0.56063,0.000592825,0.045899084
Pten,5,1.45E-07,1.12E-06,0.00495,3,4,0.68388,5,0.0041691,0.01858,1,188,3,0.53628,5,2.96E-05,0.00025822,0.428893,6,3,0.54249,5,0.00038111,0.0025212,1,25,3,0.38584,5,0.539385,0.000614373,0.045899084
Cul5,5,1.36E-05,0.00010906,0.144059,10,3,0.6303,5,0.0069863,0.026728,1,284,3,0.46469,5,5.11E-06,4.46E-05,0.159653,3,4,0.6115,5,0.00013548,0.0016592,1,15,3,0.46633,5,0.538915,0.000586581,0.045899084
Ube2f,5,7.48E-06,5.58E-05,0.105375,7,4,0.49539,5,0.00047209,0.0023982,0.992876,27,4,0.56072,5,5.53E-06,4.83E-05,0.159653,4,3,0.45285,5,3.85E-06,3.26E-05,0.107673,4,4,0.59465,5,0.528055,0.000588679,0.045899084
Cdkn1c,5,3.41E-07,3.37E-06,0.008911,5,3,0.59272,5,0.0012465,0.0074998,1,69,3,0.69158,5,8.18E-05,0.000648,0.604235,12,4,0.4432,5,5.53E-05,0.0003879,0.525248,9,3,0.4507,5,0.52171,0.000599095,0.045899084
Gpr146,5,0.0029782,0.011107,1,100,2,0.47815,5,0.0037855,0.017113,1,173,1,-0.30459,5,2.29E-05,0.00019976,0.428893,5,4,0.57392,5,0.00088599,0.0044828,1,53,3,0.49845,5,0.4883,0.056387642,0.298863552
Rb1,5,0.0042775,0.013229,1,136,2,0.19966,5,0.0019987,0.011448,1,108,4,0.50002,5,2.39E-07,5.62E-06,0.074257,1,5,0.62776,5,0.0012613,0.0057645,1,71,3,0.44743,5,0.473725,0.001241094,0.045899084
Prkar1a,5,0.00045207,0.0026883,1,32,1,0.31362,5,0.0045215,0.01944,1,199,3,0.5185,5,0.00024085,0.0012027,0.756565,20,3,0.35455,5,9.26E-05,0.00065549,0.666032,13,3,0.51689,5,0.43572,0.00081084,0.045899084
Nf1,5,0.00071153,0.0045922,1,43,2,0.37546,5,0.001599,0.0089164,1,92,4,0.48392,5,0.18098,0.26139,1,2341,1,0.24514,5,6.00E-05,0.00039764,0.525248,10,4,0.47842,5,0.42694,0.001034538,0.045899084
Tsc2,5,4.22E-05,0.00024848,0.252475,13,3,0.48978,5,0.056992,0.14678,1,1487,2,0.29308,5,0.00011029,0.00077842,0.604235,17,2,0.35241,5,4.50E-05,0.00031519,0.525248,7,3,0.56991,5,0.421095,0.000863856,0.045899084
Cdkn1b,5,5.42E-05,0.00030245,0.269637,14,3,0.54633,5,0.019498,0.067418,1,687,2,0.37481,5,0.26299,0.35322,1,3281,1,0.12735,5,0.00095244,0.0047391,1,59,3,0.46582,5,0.420315,0.00263472,0.050059466
Arih2,5,1.70E-07,1.87E-06,0.006188,4,5,0.513,5,0.023859,0.081806,1,816,3,0.42094,5,0.0092036,0.029777,1,267,2,0.35102,5,0.00046122,0.0027415,1,31,2,0.4079,5,0.41442,0.000737238,0.045899084
Fbxo11,5,0.078814,0.11932,1,1094,1,0.18604,5,0.024121,0.082475,1,825,3,0.38642,5,0.00061734,0.0027393,0.955666,36,3,0.41212,5,0.036761,0.10006,1,854,2,0.41816,5,0.39927,0.001623958,0.045899084
Ncor1,5,0.48528,0.59246,1,5983,0,0.14161,5,0.11401,0.23482,1,2439,2,0.44236,5,0.00067931,0.0030421,0.955666,41,3,0.49344,5,0.30405,0.40923,1,3770,0,0.35313,5,0.397745,0.002386127,0.048441277
Znrf3,5,0.00023741,0.001893,1,23,3,0.40349,5,0.012979,0.048375,1,476,3,0.45146,5,0.013319,0.041121,1,355,1,0.24434,5,0.039485,0.10767,1,919,2,0.37223,5,0.38786,0.001111624,0.045899084
Nprl3,5,0.00062299,0.0041762,1,38,3,0.38925,5,0.013732,0.050627,1,497,2,0.3734,5,0.14484,0.21924,1,1963,1,0.16323,5,1.35E-06,1.46E-05,0.064356,3,5,0.5943,5,0.381325,0.001926217,0.046341477
Nf2,5,0.18648,0.24288,1,2325,1,0.27752,5,0.28591,0.40513,1,4365,1,0.056377,5,3.06E-05,0.00026197,0.428893,7,4,0.55225,5,0.00010026,0.00071471,0.674328,14,4,0.46013,5,0.368825,0.007177411,0.086574647
Ifngr2,5,0.010731,0.030934,1,269,2,0.37573,5,0.24599,0.38172,1,4031,1,0.36461,5,0.0025752,0.012259,1,121,2,0.36108,5,0.11023,0.17171,1,1614,1,-0.057151,5,0.362845,0.023171027,0.183526166
Stk11,5,0.21875,0.28962,1,2701,0,0.21375,5,0.058021,0.14807,1,1504,2,0.32581,5,0.00073254,0.0032055,0.955666,44,3,0.39067,5,7.45E-07,6.37E-06,0.042079,2,5,0.54917,5,0.35824,0.001398915,0.045899084
Acvr2a,5,0.14901,0.1952,1,1893,1,0.35715,5,0.017391,0.059879,1,619,2,0.33817,5,0.0063265,0.021868,1,201,2,0.42956,5,0.00093668,0.0046934,1,57,2,0.3575,5,0.357325,0.000893677,0.045899084
Rnase12,5,0.023667,0.062346,1,510,1,0.11297,5,0.0093913,0.033414,1,367,3,0.49697,5,0.069132,0.13966,1,1177,1,0.25472,5,0.0028169,0.013823,1,129,3,0.45967,5,0.357195,0.004110687,0.061503991
Ube2m,5,0.0041734,0.013144,1,131,2,0.32618,5,0.51062,0.57634,1,6567,1,0.19279,5,0.00095493,0.0042729,1,51,3,0.38686,5,5.41E-05,0.0003849,0.525248,8,4,0.45765,5,0.35652,0.001689214,0.045899084
Zfhx2,5,0.0058377,0.018399,1,163,2,0.40708,5,0.0024893,0.014255,1,135,3,0.53573,5,0.22199,0.30745,1,2806,1,0.30586,5,0.47194,0.59339,1,5813,0,0.14237,5,0.35647,0.00264169,0.050059466
Sav1,5,0.0001934,0.0016846,1,22,2,0.28806,5,0.0024627,0.0142,1,133,4,0.58422,5,0.012631,0.03822,1,343,1,0.31231,5,0.064855,0.13008,1,1166,1,0.39054,5,0.351425,0.001018304,0.045899084
Rnf7,5,3.61E-05,0.00020576,0.226485,12,3,0.50587,5,0.012513,0.045737,1,463,2,0.11976,5,0.0007442,0.0032557,0.955666,45,3,0.45372,5,0.0021893,0.010762,1,105,2,0.24343,5,0.348575,0.004019365,0.061033107
Map3k21,5,0.0001551,0.00068623,0.453218,20,3,0.51076,5,0.0068891,0.025839,1,279,3,0.5833,5,0.013388,0.041246,1,357,1,0.18536,5,0.0127,0.040575,1,360,1,-0.00061624,5,0.34806,0.02024409,0.169230344
Eny2,5,0.00064849,0.0043134,1,39,3,0.40491,5,0.44668,0.52365,1,5872,1,0.25458,5,0.0023114,0.01122,1,113,3,0.41303,5,0.088995,0.1507,1,1405,1,0.28099,5,0.34295,0.001330742,0.045899084
Rp1,5,0.21422,0.2852,1,2644,0,0.21027,5,0.022707,0.078788,1,774,3,0.41095,5,0.1003,0.17528,1,1497,1,0.32995,5,0.03223,0.088564,1,762,2,0.33858,5,0.334265,0.001614957,0.045899084
Ube2r2,5,0.0032046,0.011291,1,105,2,0.2175,5,0.084252,0.18885,1,1949,2,0.35319,5,0.024433,0.066277,1,598,2,0.30955,5,0.0013666,0.0069099,1,75,3,0.4336,5,0.33137,0.00155034,0.045899084
Elk1,5,0.55839,0.66706,1,6852,0,-0.037649,5,0.002086,0.011827,1,113,2,0.33776,5,0.023019,0.063817,1,561,2,0.41303,5,0.28282,0.38174,1,3519,1,0.31684,5,0.3273,0.020888643,0.172328045
Lztr1,5,0.064723,0.10708,1,940,1,0.2329,5,0.00055798,0.002821,0.992876,35,4,0.60912,5,0.0052409,0.018567,1,180,1,0.14187,5,0.01566,0.049487,1,429,2,0.41736,5,0.32513,0.003408893,0.056000824
Hipk2,5,0.081286,0.12246,1,1121,1,0.14393,5,0.097962,0.21003,1,2183,2,0.2848,5,0.0012229,0.007146,1,65,3,0.40038,5,0.17795,0.25497,1,2318,1,0.35979,5,0.322295,0.003083888,0.053878297
Ankrd26,5,0.091446,0.13145,1,1232,1,0.2103,5,0.023751,0.081366,1,812,3,0.41064,5,0.18187,0.26423,1,2350,1,0.30637,5,0.027592,0.07907,1,675,2,0.33529,5,0.32083,0.001720574,0.045899084
Fam102b,5,0.65415,0.75581,1,8029,0,-0.030442,5,0.11632,0.24016,1,2473,2,0.42372,5,0.26097,0.35322,1,3256,1,0.32732,5,0.51269,0.63998,1,6312,0,0.31002,5,0.31867,0.019933598,0.167376323
Chtf8,5,0.25411,0.33293,1,3125,0,-0.072313,5,0.18566,0.34,1,3584,1,0.35983,5,0.0051546,0.01841,1,176,2,0.27742,5,0.0017391,0.0084997,1,93,3,0.47054,5,0.318625,0.028973726,0.207080611
Atm,5,0.075487,0.11611,1,1063,1,0.24739,5,0.0025688,0.014474,1,138,3,0.58094,5,0.79703,0.8608,1,9879,0,0.087887,5,0.1509,0.22318,1,2035,1,0.3838,5,0.315595,0.005799058,0.075866041
Dip2c,5,0.16989,0.2236,1,2128,1,0.19384,5,0.25236,0.38506,1,4082,1,0.30712,5,0.0028862,0.013898,1,132,2,0.32405,5,0.35108,0.45974,1,4329,0,0.32215,5,0.314635,0.002241216,0.047331473
Depdc5,5,0.34342,0.43724,1,4214,0,0.30569,5,0.016791,0.058771,1,600,3,0.49302,5,0.20118,0.28172,1,2566,1,0.32026,5,0.13949,0.20824,1,1915,1,0.051339,5,0.312975,0.008195734,0.092758569
Prkaca,5,0.064459,0.10708,1,937,1,0.32119,5,0.039441,0.1144,1,1178,2,0.32541,5,0.61422,0.70609,1,7645,0,-0.21719,5,0.02544,0.073291,1,628,1,0.30202,5,0.311605,0.067632424,0.332077714
Erg,5,0.682,0.78065,1,8350,0,0.12915,5,0.020459,0.070968,1,717,3,0.39001,5,0.013697,0.042153,1,363,2,0.27885,5,0.052727,0.12229,1,1046,1,0.34043,5,0.30964,0.003808693,0.059252325
Asb4,5,0.91949,0.96066,1,11212,0,-0.07077,5,0.08099,0.18486,1,1884,2,0.44944,5,0.0078888,0.024797,1,234,2,0.32757,5,0.02706,0.077837,1,662,2,0.29046,5,0.309015,0.029131934,0.207486906
Hspa4l,5,0.3053,0.39585,1,3746,0,0.2399,5,0.0073497,0.027727,1,299,3,0.55613,5,0.12589,0.19981,1,1759,1,0.37459,5,0.46036,0.58364,1,5676,0,-0.02713,5,0.307245,0.021367986,0.174862675
Dcaf15,5,0.30567,0.39752,1,3748,0,0.23219,5,0.011071,0.039769,1,416,3,0.49699,5,0.030197,0.078805,1,724,2,0.38029,5,0.43936,0.56052,1,5395,0,0.18795,5,0.30624,0.002398875,0.048441277
Zdhhc9,5,0.8037,0.88191,1,9790,0,-0.065175,5,0.017783,0.061464,1,634,3,0.50574,5,0.34183,0.44068,1,4273,0,0.19069,5,0.0018992,0.009708,1,97,3,0.41896,5,0.304825,0.036611577,0.236578134
Fubp1,5,0.48904,0.59652,1,6031,0,-0.13009,5,0.010426,0.036285,1,397,2,0.43417,5,0.041282,0.10429,1,924,1,0.25396,5,0.035025,0.096157,1,818,2,0.35412,5,0.30404,0.046616167,0.271309856
Sdk1,5,0.40817,0.50554,1,5037,0,0.30648,5,0.37733,0.46834,1,5182,1,0.23172,5,0.038714,0.10089,1,897,2,0.32549,5,0.017021,0.053013,1,452,2,0.30015,5,0.303315,0.001855459,0.046341477
Psen2,5,0.014409,0.041942,1,358,2,0.092681,5,0.069265,0.16642,1,1684,2,0.42007,5,0.022492,0.063162,1,547,2,0.28803,5,0.030133,0.085161,1,723,1,0.3186,5,0.303315,0.005550647,0.073640758
Ofd1,5,0.0024093,0.0081834,1,89,2,0.3034,5,0.7071,0.7718,1,9013,0,-0.28123,5,0.078749,0.15042,1,1273,1,0.30344,5,0.039896,0.1083,1,928,2,0.30157,5,0.302485,0.083372545,0.370709361
Nov,5,0.77282,0.85642,1,9428,0,0.13554,5,0.079658,0.18226,1,1864,2,0.35468,5,0.24544,0.33642,1,3073,1,0.29219,5,0.01491,0.04741,1,410,2,0.31009,5,0.30114,0.003783324,0.059070626
Samd4,5,0.10324,0.14864,1,1350,1,0.19989,5,0.025262,0.085263,1,859,3,0.41981,5,0.65254,0.73855,1,8123,0,0.15029,5,0.17754,0.2539,1,2314,1,0.40032,5,0.300105,0.004060682,0.061155637
Lats1,5,1.01E-05,8.13E-05,0.119362,9,4,0.48394,5,0.67866,0.74496,1,8667,0,0.23057,5,0.42548,0.52387,1,5308,0,0.079778,5,0.038589,0.10472,1,900,1,0.36345,5,0.29701,0.00711843,0.086149886
Dpysl3,5,0.7352,0.82683,1,8979,0,-0.097016,5,0.14247,0.2803,1,2961,2,0.49198,5,0.32493,0.41719,1,4060,0,0.19821,5,0.020452,0.063921,1,519,2,0.38972,5,0.293965,0.045387195,0.267383619
Map3k6,5,0.14791,0.19452,1,1880,1,0.32361,5,0.17263,0.33002,1,3476,2,0.39103,5,0.49289,0.59501,1,6169,0,0.26391,5,0.33468,0.44741,1,4130,0,0.16265,5,0.29376,0.002972256,0.052850653
Nat8f5,5,0.15668,0.20606,1,1981,1,0.3064,5,0.54403,0.61405,1,6967,1,0.082288,5,0.45353,0.55747,1,5672,0,0.27785,5,0.3501,0.45874,1,4316,0,0.37599,5,0.292125,0.006821583,0.083863107
Ambra1,5,0.0046866,0.015588,1,143,1,0.26404,5,0.03778,0.11207,1,1152,1,0.11917,5,0.12339,0.19578,1,1732,1,0.39127,5,0.14668,0.21872,1,1989,1,0.31984,5,0.29194,0.004579925,0.065680397
Pdlim7,5,0.75873,0.84547,1,9259,0,0.023013,5,0.015034,0.05371,1,541,3,0.56596,5,0.12038,0.19464,1,1699,1,0.12359,5,0.034996,0.096157,1,816,2,0.45929,5,0.29144,0.025638712,0.193506344
Cep83,5,0.084272,0.125,1,1155,1,0.18319,5,0.010971,0.038826,1,413,3,0.44671,5,0.18506,0.26536,1,2391,1,0.33129,5,0.50076,0.62651,1,6165,0,0.25059,5,0.29094,0.002491224,0.049106516
Lrp4,5,0.6511,0.75363,1,7986,0,0.033006,5,0.010731,0.037848,1,407,2,0.35772,5,0.24243,0.33139,1,3034,1,0.28602,5,0.46998,0.59132,1,5794,0,0.29556,5,0.29079,0.012244063,0.121138269
Golga7,5,0.33418,0.42563,1,4099,0,0.31427,5,0.0060287,0.023628,1,254,3,0.5243,5,0.39999,0.49895,1,4999,0,0.24871,5,0.03982,0.1083,1,926,2,0.2657,5,0.289985,0.001567546,0.045899084
Ppard,5,0.22812,0.3017,1,2821,0,0.32952,5,0.1156,0.23822,1,2463,1,0.15058,5,0.15529,0.23004,1,2076,1,0.31435,5,0.081286,0.14463,1,1322,1,0.26425,5,0.2893,0.003675477,0.05813857
Ccdc18,5,0.0068614,0.020039,1,186,2,0.34135,5,0.032643,0.10239,1,1050,2,0.34545,5,0.26641,0.356,1,3320,1,0.23495,5,0.085827,0.14957,1,1367,1,0.05504,5,0.28815,0.010586074,0.109999762
Pcnx4,5,0.0023635,0.0081241,1,86,2,0.34835,5,0.71204,0.7754,1,9091,0,0.11765,5,0.32259,0.4129,1,4035,0,0.28982,5,0.50735,0.63325,1,6248,0,0.28356,5,0.28669,0.004960096,0.068888478
Fgd3,5,0.152,0.20036,1,1926,1,0.27124,5,0.41564,0.50147,1,5555,1,0.33742,5,0.10343,0.17814,1,1530,1,0.29936,5,0.14208,0.21319,1,1937,1,0.040348,5,0.2853,0.011917183,0.1188838
Dcun1d5,5,0.59734,0.70172,1,7337,0,0.17778,5,0.010495,0.036329,1,399,2,0.35019,5,0.13175,0.20665,1,1825,1,0.2414,5,0.022042,0.066044,1,552,2,0.32768,5,0.28454,0.002989751,0.052970538
Bcl2a1a,1,0.17479,0.22517,1,2183,0,0.26162,1,0.028764,0.034393,1,964,1,0.86232,1,0.15886,0.19933,1,2110,0,0.30704,1,0.89271,0.92039,1,10969,0,-0.53888,1,0.28433,0.098930338,0.400573853
Sclt1,5,0.25422,0.33293,1,3127,0,0.31834,5,0.15346,0.29813,1,3155,1,0.19442,5,0.18524,0.26536,1,2394,1,0.26482,5,0.013488,0.04185,1,376,2,0.29733,5,0.281075,0.002739738,0.05086412
Extl2,5,0.3052,0.39585,1,3744,0,0.093672,5,0.056164,0.14631,1,1477,2,0.35703,5,0.49535,0.59703,1,6207,0,0.21781,5,0.33528,0.44844,1,4135,0,0.34371,5,0.28076,0.007325709,0.087722542
Pwwp2b,5,0.031558,0.071927,1,583,1,0.09631,5,0.11156,0.23105,1,2405,1,0.36582,5,0.035126,0.092662,1,825,2,0.27097,5,0.14986,0.22204,1,2023,1,0.28991,5,0.28044,0.006301357,0.079591944
Klhl3,5,0.072805,0.11416,1,1034,1,0.24527,5,0.038656,0.11323,1,1166,2,0.31513,5,0.33648,0.4338,1,4210,0,0.35158,5,0.096717,0.15612,1,1489,1,0.12292,5,0.2802,0.00503051,0.069283598
Ccdc112,5,0.00079799,0.0050509,1,45,3,0.3811,5,0.23275,0.37392,1,3928,1,-0.010812,5,0.0099373,0.0306,1,280,2,0.39839,5,0.49691,0.62426,1,6112,0,0.17917,5,0.280135,0.026107501,0.195801626
Pdgfb,5,0.61668,0.72043,1,7572,0,0.048107,5,0.020779,0.07154,1,726,3,0.59806,5,0.24427,0.33416,1,3060,1,0.35457,5,0.0039688,0.016477,1,152,2,0.20285,5,0.27871,0.011700132,0.117338905
Zfp869,5,0.00018488,0.0016539,1,21,3,0.45427,5,0.029069,0.098228,1,974,2,0.010908,5,0.055189,0.12377,1,1049,1,0.22325,5,0.015499,0.049227,1,423,2,0.3341,5,0.278675,0.01685603,0.149962332
Brd1,5,0.21669,0.28838,1,2672,0,0.18625,5,0.10547,0.22092,1,2298,1,-0.16471,5,0.028722,0.076889,1,688,2,0.40109,5,0.0017313,0.0084652,1,92,2,0.3697,5,0.277975,0.072641703,0.344630607
Aldh2,5,0.016252,0.048548,1,400,2,0.35887,5,0.072192,0.17069,1,1731,2,0.39229,5,0.00052161,0.0023742,0.955666,32,1,0.19348,5,0.17007,0.24673,1,2231,1,0.10171,5,0.276175,0.007366366,0.087927496
Npr1,5,0.23015,0.30483,1,2845,0,0.27418,5,0.0012161,0.0065508,1,67,4,0.63079,5,0.42552,0.52387,1,5309,0,0.27792,5,0.13516,0.20316,1,1870,1,0.12084,5,0.27605,0.004499035,0.065382192
Cln5,5,0.0028634,0.010367,1,97,2,0.24484,5,0.7742,0.83686,1,9895,0,-0.1557,5,0.25235,0.34323,1,3159,1,0.30632,5,0.0073952,0.025556,1,238,2,0.40331,5,0.27558,0.059209163,0.307766478
Rasa1,5,0.044304,0.084721,1,720,1,0.097719,5,0.14331,0.2816,1,2971,1,0.30225,5,0.0032673,0.01443,1,141,2,0.29657,5,0.021482,0.064804,1,541,1,0.25417,5,0.27537,0.007235055,0.087054747
Lilr4b,5,0.29537,0.38632,1,3630,0,0.30592,5,0.90823,0.94224,1,11623,0,-0.050271,5,0.063073,0.13448,1,1121,1,0.27938,5,0.38434,0.50346,1,4724,0,0.27124,5,0.27531,0.03276119,0.221221779
Ankrd46,5,0.17997,0.23453,1,2244,1,0.010688,5,0.016745,0.058704,1,598,3,0.67874,5,0.62921,0.71582,1,7843,0,0.10767,5,0.019627,0.061965,1,502,2,0.44274,5,0.275205,0.033192045,0.223292076
Frmd6,5,0.051128,0.089274,1,797,1,0.37183,5,0.0054787,0.02147,1,232,3,0.48743,5,0.40542,0.50286,1,5062,0,0.074783,5,0.57891,0.70389,1,7149,0,0.17686,5,0.274345,0.010263403,0.107929163
Fzd6,5,0.16509,0.21584,1,2083,1,0.14302,5,0.0012253,0.0073364,1,68,4,0.43796,5,0.39181,0.48818,1,4897,0,-0.052884,5,0.22908,0.31165,1,2889,1,0.40543,5,0.274225,0.046353053,0.270420105
Tmem100,5,0.75909,0.84565,1,9264,0,0.12326,5,0.0037478,0.017041,1,172,3,0.52542,5,0.001941,0.0099171,1,94,3,0.42467,5,0.73175,0.84246,1,9004,0,-0.058409,5,0.273965,0.054170837,0.292992801
Ddit4,5,0.28798,0.37509,1,3540,0,0.071593,5,0.011899,0.044195,1,444,3,0.474,5,0.017167,0.049262,1,447,1,0.21715,5,0.036717,0.10006,1,852,2,0.33032,5,0.273735,0.00878285,0.097123843
Gm11437,5,0.47949,0.5859,1,5910,0,0.14666,5,0.10333,0.21601,1,2263,2,0.39992,5,0.030102,0.078804,1,721,2,0.41497,5,0.0053737,0.020416,1,188,2,0.025035,5,0.27329,0.022331421,0.179723439
Timm21,5,0.15443,0.2029,1,1956,1,0.12756,5,0.47178,0.54218,1,6149,1,0.26431,5,0.36847,0.46364,1,4611,0,0.28774,5,0.30286,0.4065,1,3756,0,0.28222,5,0.273265,0.005552325,0.073640758
Bst1,5,0.27871,0.36239,1,3431,0,0.26401,5,0.0032999,0.015991,1,159,1,0.27988,5,0.74481,0.81593,1,9233,0,0.01699,5,0.00025875,0.0021269,1,20,3,0.43432,5,0.271945,0.015273491,0.140874488
Idh3a,5,0.018238,0.053203,1,450,2,0.34534,5,0.7211,0.78145,1,9218,0,0.20532,5,0.027814,0.076094,1,663,2,0.33731,5,0.58459,0.70977,1,7221,0,0.010746,5,0.271315,0.019975453,0.167595313
Rab27a,5,0.062743,0.10521,1,918,1,0.25954,5,0.10479,0.21984,1,2287,2,0.28104,5,0.71625,0.79211,1,8876,0,0.16273,5,0.24998,0.34206,1,3119,1,0.31657,5,0.27029,0.003771486,0.059021067
Il17rc,5,0.044573,0.084721,1,724,1,0.25115,5,0.28655,0.40513,1,4373,1,0.28975,5,0.15814,0.23288,1,2103,1,0.28802,5,0.64843,0.76712,1,7982,0,0.10976,5,0.269585,0.006779284,0.08358461
Szt2,5,0.39753,0.48971,1,4906,0,0.25794,5,0.45354,0.52732,1,5955,1,0.31944,5,0.1498,0.22498,1,2017,1,0.17745,5,0.30826,0.41465,1,3826,0,0.2809,5,0.26942,0.003335751,0.055419619
Il7r,5,0.60053,0.70457,1,7384,0,0.15663,5,0.015294,0.054374,1,555,3,0.43259,5,0.11693,0.19121,1,1664,1,0.28567,5,0.33789,0.45007,1,4167,0,0.25289,5,0.26928,0.003494691,0.056635429
Mtfr1l,5,0.20951,0.28205,1,2584,0,0.10835,5,0.012177,0.044554,1,454,2,0.42067,5,0.51422,0.61397,1,6460,0,0.16531,5,0.2319,0.31384,1,2921,1,0.37297,5,0.26914,0.008111589,0.092201262
Mknk1,5,0.32218,0.41296,1,3952,0,0.28319,5,0.089361,0.19618,1,2036,2,0.32696,5,0.068015,0.13798,1,1167,1,0.255,5,0.29815,0.39829,1,3701,0,-0.10941,5,0.269095,0.050592144,0.282068824
Cabyr,5,0.39181,0.4833,1,4838,0,-0.034964,5,0.041591,0.11997,1,1221,2,0.31065,5,0.010287,0.031285,1,286,2,0.48999,5,0.56697,0.69059,1,7003,0,0.22696,5,0.268805,0.026723832,0.197852227
Plekhg5,5,0.36135,0.45732,1,4444,0,0.030966,5,0.32468,0.43299,1,4689,1,0.19887,5,4.08E-05,0.00032793,0.428893,10,4,0.57703,5,0.36639,0.48176,1,4506,0,0.33813,5,0.2685,0.014890806,0.138603079
Tmem263,5,0.061289,0.10336,1,902,1,0.27129,5,5.96E-05,0.00044412,0.838048,7,5,0.51535,5,0.08291,0.15556,1,1319,1,0.065069,5,0.45602,0.57943,1,5618,0,0.26362,5,0.267455,0.008820074,0.097160582
Ulk3,5,0.31522,0.40696,1,3862,0,0.24191,5,0.015863,0.056371,1,573,3,0.46305,5,0.33523,0.43228,1,4193,0,0.29113,5,0.12489,0.19104,1,1765,1,0.050298,5,0.26652,0.010910563,0.112232647
Dhcr7,5,0.023053,0.061075,1,503,1,0.22585,5,0.1236,0.25011,1,2622,2,0.30705,5,0.010385,0.031286,1,289,2,-0.068875,5,0.00034077,0.0023458,1,23,3,0.61639,5,0.26645,0.035382573,0.232272876
Wwc1,5,0.0019115,0.0068724,1,75,2,0.30277,5,0.44085,0.52115,1,5807,1,0.21141,5,0.0059986,0.020761,1,192,2,0.41854,5,0.017922,0.056298,1,470,1,0.22926,5,0.266015,0.002459419,0.048628744
Man2c1,5,0.069658,0.11096,1,995,1,0.32258,5,0.046146,0.1312,1,1288,2,0.332,5,0.66937,0.74967,1,8323,0,0.099626,5,0.60356,0.72677,1,7452,0,0.20768,5,0.26513,0.007806595,0.090367666
Atf6,5,0.08822,0.12758,1,1199,1,0.28844,5,0.31302,0.4267,1,4597,1,0.2853,5,0.27796,0.36769,1,3471,1,0.23482,5,0.53655,0.66321,1,6624,0,0.24464,5,0.26497,0.002596892,0.049876905
Mapk4,5,0.10579,0.15182,1,1379,1,0.18495,5,0.66644,0.73616,1,8478,0,0.047649,5,0.0053922,0.018712,1,183,2,0.46198,5,0.0049638,0.020016,1,180,1,0.34406,5,0.264505,0.013746383,0.131091858
Slc30a1,5,0.00085405,0.0052511,1,47,2,0.4242,5,0.099984,0.21188,1,2214,1,0.20016,5,0.010094,0.030927,1,283,2,0.21932,5,0.012908,0.040712,1,365,2,0.30855,5,0.263935,0.002740622,0.05086412
Mtrr,5,0.16472,0.21515,1,2078,1,0.19236,5,0.33353,0.44044,1,4769,1,0.25615,5,0.11099,0.18213,1,1613,1,0.27046,5,0.025254,0.072974,1,624,2,0.34682,5,0.263305,0.002949968,0.052652933
Ccr1,5,0.74654,0.83504,1,9110,0,0.15573,5,0.012281,0.044644,1,456,3,0.48331,5,0.38844,0.48469,1,4849,0,0.2732,5,0.0056097,0.02059,1,196,2,0.25281,5,0.263005,0.003576624,0.056984378
Rabep1,5,0.10203,0.1467,1,1335,1,0.24371,5,0.017064,0.059325,1,608,3,0.47195,5,0.052594,0.12093,1,1027,1,0.28216,5,0.60564,0.72761,1,7480,0,0.024395,5,0.262935,0.014741718,0.137662074
Pkib,5,0.81428,0.88911,1,9916,0,0.057576,5,0.47073,0.54109,1,6134,1,0.26261,5,0.025392,0.068104,1,620,2,0.38526,5,0.0015882,0.0078753,1,86,2,0.26267,5,0.26264,0.010593557,0.109999762
Tagln,5,0.14121,0.18693,1,1799,1,0.29728,5,0.083041,0.18649,1,1922,2,0.22783,5,0.21388,0.29605,1,2710,1,-0.01319,5,0.254,0.34818,1,3163,1,0.3028,5,0.262555,0.026342996,0.196464312
Phf7,5,0.15389,0.2029,1,1949,1,0.16664,5,0.048591,0.13565,1,1335,2,0.33454,5,0.06195,0.13392,1,1110,1,0.26239,5,0.082521,0.1468,1,1331,1,0.26128,5,0.261835,0.003712601,0.058376225
