id,mouse3.num,mouse3.pos.score,mouse3.pos.p.value,mouse3.pos.fdr,mouse3.pos.rank,mouse3.pos.goodsgrna,mouse3.pos.lfc,mouse4.noLmnb2_1.num,mouse4.noLmnb2_1.pos.score,mouse4.noLmnb2_1.pos.p.value,mouse4.noLmnb2_1.pos.fdr,mouse4.noLmnb2_1.pos.rank,mouse4.noLmnb2_1.pos.goodsgrna,mouse4.noLmnb2_1.pos.lfc,mouse7.num,mouse7.pos.score,mouse7.pos.p.value,mouse7.pos.fdr,mouse7.pos.rank,mouse7.pos.goodsgrna,mouse7.pos.lfc,mouse8.num,mouse8.pos.score,mouse8.pos.p.value,mouse8.pos.fdr,mouse8.pos.rank,mouse8.pos.goodsgrna,mouse8.pos.lfc,mean.sgrnas,median.lfc.all,p.wilcox,p.wilcox.bh
Chst12,5,0.77292,0.85642,1,9430,0,0.012929,5,0.37179,0.46499,1,5133,1,0.0078231,5,0.38787,0.48419,1,4842,0,-0.17365,5,0.50987,0.63596,1,6276,0,0.20035,5,0.01037605,0.860492419,0.957663799
Cep128,5,0.16207,0.21323,1,2050,1,0.13086,5,0.36427,0.45843,1,5061,1,-0.014412,5,0.43726,0.53886,1,5462,0,0.035149,5,0.9539,0.9821,1,11758,0,-0.22,5,0.0103685,0.940613818,0.97984926
Gdf2,5,0.71866,0.81149,1,8781,0,0.085548,5,0.47286,0.54371,1,6159,1,-0.055052,5,0.29216,0.38419,1,3648,0,0.07572,5,0.74287,0.85105,1,9137,0,-0.069937,5,0.010334,0.911095026,0.973006372
Baiap2l1,5,0.0073026,0.020843,1,198,2,0.096505,5,0.010335,0.03615,1,395,2,0.085358,5,0.58555,0.68252,1,7295,0,-0.064774,5,0.30676,0.41304,1,3804,0,-0.12879,5,0.010292,0.992859314,0.998443051
Atad2b,5,0.12564,0.17113,1,1617,1,0.12969,5,0.13175,0.26076,1,2771,1,-0.30092,5,0.22154,0.30688,1,2803,1,-0.029228,5,0.13665,0.20656,1,1885,1,0.049775,5,0.0102735,0.878284887,0.964916295
Mlh1,5,0.53335,0.64357,1,6556,0,0.033928,5,0.81839,0.8725,1,10473,0,0.124,5,0.57264,0.66932,1,7136,0,-0.013391,5,0.7177,0.83095,1,8832,0,-0.13866,5,0.0102685,0.968214933,0.989644237
Fam126b,5,0.87479,0.93297,1,10652,0,-0.004752,5,0.72429,0.78534,1,9260,0,-0.022364,5,0.77504,0.844,1,9598,0,0.025201,5,0.33769,0.45007,1,4165,0,0.048771,5,0.0102245,0.91126399,0.973006372
Cpt1a,5,0.78876,0.87041,1,9618,0,0.037421,5,0.039913,0.11618,1,1186,2,0.093435,5,0.34738,0.44641,1,4341,0,-0.016984,5,0.86874,0.93785,1,10657,0,-0.16306,5,0.0102185,0.91023727,0.972701093
Vtcn1,5,0.20408,0.27316,1,2520,1,-0.062042,5,0.017498,0.060274,1,623,2,-0.19334,5,0.18276,0.26423,1,2362,1,0.082459,5,0.7877,0.88178,1,9639,0,0.092704,5,0.0102085,0.884027129,0.966575358
Serpinb8,5,0.8986,0.9478,1,10954,0,0.049223,5,0.56658,0.63659,1,7243,1,0.0094324,5,0.27285,0.36154,1,3407,1,-0.26415,5,0.95575,0.98304,1,11794,0,0.010927,5,0.0101797,0.67065041,0.884998563
